(Основные характеристики) Код производителя;Номенклатура;Описание;Ед. изм.;Текстовые аналоги;(Основные характеристики) Страна производитель;(Основные характеристики) Бренд;Категрия;Вес (числитель);Артикул;(Основные характеристики) Производитель;Модель;Цена;Конечный остаток;Vendor
6151-61-1123;Насос водяной;Насос водяной;шт;;Япония;Komatsu;Komatsu;9,500;6151-61-1123;Komatsu Ltd;D65E-12;71 779;1,000;ИмПарт
6128-61-3601;Натяжитель;Натяжитель;шт;;Япония;Komatsu;Komatsu;14,200;6128-61-3601;Komatsu Ltd;D355A-1;74 457;1,000;ИмПарт
14X-30-13143;Поршень гидроцилиндра;Поршень гидроцилиндра;шт;;Япония;Komatsu;Komatsu;31,200;14X-30-13143;Komatsu Ltd;D65EX-12;67 867;1,000;ИмПарт
707-99-58370;Ремкомплект г/ц ковша;Ремкомплект г/ц ковша;шт;;Япония;Komatsu;Komatsu;0,630;707-99-58370;Komatsu Ltd;PC300-6;16 170;1,000;ИмПарт
41E-15-05111;РЕМКОМПЛЕКТ КЗ;РЕМКОМПЛЕКТ КЗ;шт;;Япония;Komatsu;Komatsu;0,600;41E-15-05111;Komatsu Ltd;WD600-3;27 540;1,000;ИмПарт
DK154345-1520;Рычаг;Рычаг;шт;;Япония;Komatsu;Komatsu;0,300;DK154345-1520;Komatsu Ltd;D355A-1;8 962;3,000;ИмПарт
702-16-02231;Рычаг в сборе;Рычаг в сборе;шт;;Япония;Komatsu;Komatsu;3,500;702-16-02231;Komatsu Ltd;"D475A-5; D375A-5";74 403;1,000;ИмПарт
ND113550-1150;Термостат;Термостат;шт;;Япония;Komatsu;Komatsu;0,066;ND113550-1150;Komatsu Ltd;PC400-7;7 784;1,000;ИмПарт
195-63-13142;Туба цилиндра подьёма отвала;Туба цилиндра подьёма отвала;шт;;Япония;Komatsu;Komatsu;119,500;195-63-13142;Komatsu Ltd;D355A-3;553 755;1,000;ИмПарт
6505-65-5140;Турбокомпрессор;Турбокомпрессор;шт;;Япония;Komatsu;Komatsu;24,000;6505-65-5140;Komatsu Ltd;D275A-5;408 397;1,000;ИмПарт
205-30-00160;Уплотнение в сборе;Уплотнение в сборе;шт;;Япония;Komatsu;Komatsu;0,400;205-30-00160;Komatsu Ltd;PC300-8;7 986;17,000;ИмПарт
17M-911-3530;Фильтр 14X-911-7750 / AF25573;Фильтр 14X-911-7750 / AF25573;шт;;Япония;Komatsu;Komatsu;0,210;17M-911-3530;Komatsu Ltd;"PC2000-8; PC300-8; PC400-8";2 356;1,000;ИмПарт
208-979-7620;Фильтр 208-979-7620 кабины внутренний;Фильтр 208-979-7620 кабины внутренний;шт;;Япония;Komatsu;Komatsu;0,020;208-979-7620;Komatsu Ltd;"PC2000-8; PC300-8; PC400-8";1 701;1,000;ИмПарт
600-311-8321;Фильтр 600-311-8331;Фильтр 600-311-8331;шт;;Япония;Komatsu;Komatsu;0,750;600-311-8321;Komatsu Ltd;D65E-12;541;19,000;ИмПарт
07063-01142;Фильтр гидравлики PT397;Фильтр гидравлики PT397;шт;;Япония;Komatsu;Komatsu;1,000;07063-01142;Komatsu Ltd;D355A-1;1 460;32,000;ИмПарт
600-411-1151;Фильтр коррозионный 600-411-1150;Фильтр коррозионный 600-411-1150;шт;;Япония;Komatsu;Komatsu;0,870;600-411-1151;Komatsu Ltd;PC400-7;1 078;1,000;ИмПарт
421-60-35170;Фильтр сапуна гидробака;Фильтр сапуна гидробака;шт;;Япония;Komatsu;Komatsu;0,020;421-60-35170;Komatsu Ltd;"D375A-6; D155AX-6; PC400-8";937;1,000;ИмПарт
6212-12-3220;Форсунка;Форсунка;шт;;Япония;Komatsu;Komatsu;0,080;6212-12-3220;Komatsu Ltd;PC750-6;6 812;6,000;ИмПарт
6738-11-3090;Форсунка;Форсунка;шт;;Япония;Komatsu;Komatsu;0,200;6738-11-3090;Komatsu Ltd;PC200-7;22 267;12,000;ИмПарт
195-15-12880;Шайба пружинная;Шайба пружинная;шт;;Япония;Komatsu;Komatsu;0,010;195-15-12880;Komatsu Ltd;D375A-5;278;58,000;ИмПарт
KP50C;Штифт KP50USPAT;Штифт KP50USPAT;шт;;Япония;Komatsu;Komatsu;1,134;KP50C;Komatsu Ltd;"WA600; PC400-7";3 630;3,000;ИмПарт
HLXS115PC;Штифт XS115PC;Штифт XS115PC;шт;;Япония;Komatsu;Komatsu;2,400;HLXS115PC;Komatsu Ltd;PC750-6;12 791;1,000;ИмПарт
